position_global,page_num,page_pos,competitor_listing_id,district,address,area_m2,price_rub,our_best_price_rub,price_alert,price_diff_rub,price_diff_pct,price_scope,pro_mark,pro_note,competitor_link,our_best_link,result,matched_count,reason
323,1,323,40104,,"Санкт-Петербург г, Дальневосточный пр-кт, 42ж",166.3,40 000 000,47 900 000,У нас дороже на 7 900 000 (19.8%),7 900 000,19.8%,sale_only,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/gab-magnit-ozon-1663m2"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/19193"",""ссылка"")",Совпало,1,"На сайте sale 166 м² 47 900 000 =HYPERLINK(""https://app.worldcafe.ru/object/19193"",""ссылка"")"
324,1,324,14929,,"Санкт-Петербург г, Парнас м, -",35,16 800 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-pomeshheniia-v-tk-s-xmel-i-solod"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
325,1,325,14930,,"Санкт-Петербург г, Парнас м, -",35,16 800 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-pomeshheniia-v-tk-s-vape-club"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
326,1,326,14931,,"Санкт-Петербург г, Парнас м, -",65,25 740 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-pomeshheniia-v-tk-s-saverlend"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
327,1,327,14932,,"Санкт-Петербург г, Парнас м, -",124,52 080 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-pomeshheniia-v-tk-s-vinlab"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
328,1,328,14927,,"Санкт-Петербург г, Парнас м, -",141,65 142 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-pomeshheniia-v-tk-s-xlebnikom"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
329,1,329,14944,,"Ярославская обл, Ярославль г, Балашова ул, 12",30937,387 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/iaroslavl"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
330,1,330,14939,,"Санкт-Петербург г, Петергоф г, Шахматова ул, 14",176625,1 000 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/petergof"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
331,1,331,14940,,"Санкт-Петербург г, Санкт-Петербург г, Вадима Шефнера ул, 4",34806,2 070 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/vasilevskogoostrova-kvartal-4"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
332,1,332,14933,,"Нижегородская обл, Нижний Новгород г, Левобережная ул, 1",46000,7 526 000 200,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/niznii-novgorod"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
