position_global,page_num,page_pos,competitor_listing_id,deal_type,district,address,area_m2,price_rub,our_best_price_rub,price_alert,price_diff_rub,price_diff_pct,price_scope,pro_mark,pro_note,competitor_link,our_best_link,result,matched_count,reason
1,1,1,xiz0lcq4,rent,,"Каменноостровский, 17",132,550 000,540 000,У нас дешевле на 10 000 (1.8%),-10 000,-1.8%,same_deal,no,rest2rent_cache:/private/tmp/rest2rent_live.html,"=HYPERLINK(""https://rest2rent.yucrm.ru/s/xiz0lcq4"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/8622"",""ссылка"")",Совпало,1,"Архив rent 135 м² 540 000 =HYPERLINK(""https://app.worldcafe.ru/object/8622"",""ссылка"")"
2,1,2,n6pn6tx1,rent,,Невский 48 Пассаж,100,,,,,,,no,rest2rent_cache:/private/tmp/rest2rent_live.html,"=HYPERLINK(""https://rest2rent.yucrm.ru/s/n6pn6tx1"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
3,1,3,z76aie43,rent,,Фонтанки 109,81,243 000,,,,,,no,rest2rent_cache:/private/tmp/rest2rent_live.html,"=HYPERLINK(""https://rest2rent.yucrm.ru/s/z76aie43"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
4,1,4,t8lrz0b6,sale,,Жуковского 38,92.4,47 000 000,0,У нас дешевле на 47 000 000 (100.0%),-47 000 000,-100.0%,any_type,no,rest2rent_cache:/private/tmp/rest2rent_live.html,"=HYPERLINK(""https://rest2rent.yucrm.ru/s/t8lrz0b6"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/14137"",""ссылка"")","По адресу есть, но площадь другая",6,"Архив rent 60.8 м² 0 =HYPERLINK(""https://app.worldcafe.ru/object/14137"",""ссылка"") | Архив rent 125.8 м² 250 000 =HYPERLINK(""https://app.worldcafe.ru/object/14138"",""ссылка"") | Архив rent 56.2 м² 0 =HYPERLINK(""https://app.worldcafe.ru/object/13166"",""ссылка"") | Архив rent 39.3 м² 0 =HYPERLINK(""https://app.worldcafe.ru/object/14136"",""ссылка"") | Архив rent 37.1 м² 184 000 =HYPERLINK(""https://app.worldcafe.ru/object/13016"",""ссылка"") | На сайте business_sale 31 м² 470 000 =HYPERLINK(""https://app.worldcafe.ru/object/11949"",""ссылка"")"
5,1,5,v14f80og,sale,,Наличная 44,271,120 000 000,100 000 000,У нас дешевле на 20 000 000 (16.7%),-20 000 000,-16.7%,same_deal,no,rest2rent_cache:/private/tmp/rest2rent_live.html,"=HYPERLINK(""https://rest2rent.yucrm.ru/s/v14f80og"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/12000"",""ссылка"")",Совпало,2,"Архив rent 271.5 м² 720 000 =HYPERLINK(""https://app.worldcafe.ru/object/12000"",""ссылка"") | Архив sale 271.5 м² 100 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/12000"",""ссылка"")"
6,1,6,m96ufg5g,sale,,Лесной 59,116,53 000 000,15 500 000,У нас дешевле на 37 500 000 (70.8%),-37 500 000,-70.8%,same_deal,no,rest2rent_cache:/private/tmp/rest2rent_live.html,"=HYPERLINK(""https://rest2rent.yucrm.ru/s/m96ufg5g"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/11542"",""ссылка"")",Совпало,4,"Архив sale 115.9 м² 55 990 000 =HYPERLINK(""https://app.worldcafe.ru/object/15459"",""ссылка"") | Архив rent 119 м² 175 000 =HYPERLINK(""https://app.worldcafe.ru/object/11542"",""ссылка"") | Архив sale 119 м² 15 500 000 =HYPERLINK(""https://app.worldcafe.ru/object/11542"",""ссылка"") | Архив sale 119 м² 19 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/12070"",""ссылка"")"
