timestamp,session_id,respondent_id,respondent_label,index,object_id,address,district,area_m2,price_rub,sources,vote,rubric,rubric_class
2026-02-16T09:08:32,20,olya,Оля,4,obj_46,"Верейская ул, 8",Адмиралтейский,57.7,12 000 000,KNRU#34/1313,right,,fresh_missing
2026-02-16T09:08:33,20,olya,Оля,5,obj_50,"Восстания ул, 33",Центральный,200,4 300 000,KNRU#37/1313,right,,fresh_missing
2026-02-16T09:08:33,20,olya,Оля,6,obj_52,"Бабушкина, 48",Невский,59,14 500 000,KNRU#38/1313,right,,fresh_missing
2026-02-16T09:08:33,20,olya,Оля,7,obj_53,"Канала Грибоедова наб, 59",Адмиралтейский,80,2 500 000,KNRU#40/1313,right,,fresh_missing
2026-02-16T09:08:34,20,olya,Оля,8,obj_58,"Восстания ул, 23/1",Центральный,107,7 900 000,KNRU#43/1313,left,,fresh_missing
2026-02-16T09:08:34,20,olya,Оля,9,obj_59,"Чернышевского, 13",Центральный,142,3 900 000,KNRU#44/1313,left,,fresh_missing
2026-02-16T09:08:34,20,olya,Оля,10,obj_64,"Профессора Попова ул, 38",Петроградский,5992,2 454 409 000,KNRU#47/1313,right,,fresh_missing
2026-02-16T09:08:57,21,olya,Оля,0,obj_66,"Большая Зеленина ул, 18",Петроградский,120,6 900 000,KNRU#49/1313,right,,fresh_missing
2026-02-16T09:08:57,21,olya,Оля,1,obj_67,"Английский пр-кт, 20 А",Не указан,127,18 000 000,Северо-Запад#22/588,left,,fresh_missing
2026-02-16T09:08:59,21,olya,Оля,2,obj_69,"Пирогова пер, 18",Адмиралтейский,750,20 000 000,KNRU#51/1313,right,,fresh_missing
2026-02-16T09:09:00,21,olya,Оля,3,obj_73,"Ленинский пр-кт, 147к2",Не указан,197,29 000 000,Северо-Запад#24/588,left,,fresh_missing
2026-02-16T09:09:00,21,olya,Оля,4,obj_77,"Полюстровский пр-кт, 87",Выборгский,127.7,51 100 000,KNRU#56/1313,right,,fresh_missing
2026-02-16T09:09:01,21,olya,Оля,5,obj_78,"Полюстровский пр-кт, 87",Выборгский,90.5,28 039 500,KNRU#57/1313,left,,fresh_missing
2026-02-16T09:09:01,21,olya,Оля,6,obj_80,"Заневский пр-кт, 42",Не указан,68.4,28 500 000,Северо-Запад#26/588,right,,fresh_missing
2026-02-16T09:09:01,21,olya,Оля,7,obj_81,"Светлановский пр-кт, 85",Калининский,141.4,53 017 500,KNRU#59/1313,left,,fresh_missing
2026-02-16T09:09:02,21,olya,Оля,8,obj_83,"Ленинградская обл, Кудрово г, Столичная ул, 4к3",Не указан,134,45 000 000,Северо-Запад#27/588,right,,fresh_missing
2026-02-16T09:09:02,21,olya,Оля,9,obj_84,"Шоссе в Лаврики ул, 78к1",Всеволожский,127,30 500 000,KNRU#61/1313,left,,fresh_missing
2026-02-16T09:09:03,21,olya,Оля,10,obj_86,"Стачек пр-кт, 41",Не указан,124.2,35 000 000,Северо-Запад#28/588,right,,fresh_missing
2026-02-16T09:09:03,21,olya,Оля,11,obj_87,"Маршала Казакова ул, 70к1 стр 2",Красносельский,365,90 000 000,KNRU#63/1313,right,,fresh_missing
2026-02-16T09:09:03,21,olya,Оля,12,obj_92,"Белорусская ул, 4",Не указан,1188.1,50 000 000,Северо-Запад#30/588,right,,fresh_missing
2026-02-16T09:09:03,21,olya,Оля,13,obj_93,"Гороховая ул, 27",Адмиралтейский,50,24 000 000,KNRU#67/1313,right,,fresh_missing
2026-02-16T09:09:04,21,olya,Оля,14,obj_101,"Захарьевская ул, 16",Центральный,180,6 900 000,KNRU#73/1313,left,,fresh_missing
2026-02-16T09:16:46,21,olya,Оля,15,obj_137,"Большеохтинский пр-кт, 15к1 А",Не указан,189.3,36 000 000,Северо-Запад#44/588,right,,fresh_missing
2026-02-16T09:16:48,21,olya,Оля,16,obj_150,"Косыгина пр-кт, 30к1 А",Не указан,6857,1 117 000 000,Северо-Запад#48/588,right,,fresh_missing
2026-02-16T09:16:50,21,olya,Оля,17,obj_168,"Троицкий пр-кт, 7",Не указан,391.4,110 000 000,Северо-Запад#54/588,left,,fresh_missing
2026-02-16T09:16:50,21,olya,Оля,18,obj_178,"Ленинградская обл, Всеволожск г, Дорога Жизни ш, 46",Не указан,53,11 000 000,Северо-Запад#57/588,right,,fresh_missing
2026-02-16T09:16:51,21,olya,Оля,19,obj_51,"Всеволожский пр-кт, 61",Всеволожский,1983,105 000 000,KNRU#778/1313|Северо-Запад#17/588,left,А с хрена ли у нас нет,missing
2026-02-16T09:16:52,21,olya,Оля,20,obj_96,"Реки Фонтанки наб, 89 А",Адмиралтейский,88.8,12 500 000,KNRU#807/1313|Северо-Запад#31/588,right,А с хрена ли у нас нет,missing
2026-02-16T09:16:52,21,olya,Оля,21,obj_99,"Демьяна Бедного ул, 28",Калининский,156,45 000 000,KNRU#581/1313|Северо-Запад#32/588,left,А с хрена ли у нас нет,missing
2026-02-16T09:16:52,21,olya,Оля,22,obj_102,"Авиаконструкторов пр-кт, 38",Приморский,153,43 000 000,KNRU#597/1313|Северо-Запад#33/588,right,А с хрена ли у нас нет,missing
2026-02-16T09:21:38,1,olya,Оля,61,obj_105,"Демьяна Бедного ул, 28",Калининский,125.2,35 000 000,KNRU#582/1313|Северо-Запад#34/588,right,А с хрена ли у нас нет,missing
2026-02-16T09:22:51,23,olya,Оля,0,obj_114,"Обуховской Обороны пр-кт, 243",Невский,112,27 000 000,KNRU#588/1313|Северо-Запад#37/588,right,А с хрена ли у нас нет,missing
2026-02-16T09:22:51,23,olya,Оля,1,obj_121,"Светлановский пр-кт, 109к1",Калининский,84.8,25 000 000,KNRU#595/1313|Северо-Запад#39/588,left,А с хрена ли у нас нет,missing
2026-02-16T09:22:52,23,olya,Оля,2,obj_211,"7-я В.О. линия, 30",Василеостровский,189.3,98 000 000,KNRU#448/1313|Северо-Запад#69/588,right,А с хрена ли у нас нет,missing
2026-02-16T09:23:24,23,olya,Оля,3,obj_370,"Гражданский пр-кт, 9к11 А",Калининский,234,50 000 000,KNRU#527/1313|Северо-Запад#128/588,left,А с хрена ли у нас нет,missing
2026-02-16T09:23:25,23,olya,Оля,4,obj_374,"Рентгена ул, 25стр1",Петроградский,326.8,104 000 000,KNRU#543/1313|Северо-Запад#129/588,right,А с хрена ли у нас нет,missing
2026-02-16T09:23:26,23,olya,Оля,5,obj_391,"Пискарёвский пр-кт, 6стр1",Калининский,1912,265 000 000,KNRU#1302/1313|Северо-Запад#135/588,left,А с хрена ли у нас нет,missing
2026-02-16T09:23:30,23,olya,Оля,6,obj_593,"Среднеохтинский пр-кт, 1к1",Красногвардейский,394.8,88 400 000,KNRU#523/1313|Северо-Запад#204/588,right,А с хрена ли у нас нет,missing
2026-02-16T09:23:37,23,olya,Оля,7,obj_614,"Шелгунова ул, 12",Невский,628.9,200 000 000,KNRU#471/1313|Северо-Запад#251/588,right,А с хрена ли у нас нет,missing
2026-02-16T09:23:42,23,olya,Оля,8,obj_619,"Шелгунова ул, 12",Невский,239.5,47 500 000,KNRU#476/1313|Северо-Запад#252/588,right,А с хрена ли у нас нет,missing
2026-02-16T09:23:42,23,olya,Оля,9,obj_807,"Науки пр-кт, 47к2",Калининский,549,94 900 000,KNRU#627/1313|Северо-Запад#543/588,right,А с хрена ли у нас нет,missing
2026-02-16T09:23:43,23,olya,Оля,10,obj_843,"Героев, 27",Красносельский,226,47 000 000,KNRU#1279/1313|Северо-Запад#293/588,left,А с хрена ли у нас нет,missing
2026-02-16T09:23:44,23,olya,Оля,11,obj_1399,"Караваевская ул, 23 А",Не указан,4596,350 000 000,KNRU#1084/1313|Северо-Запад#550/588,right,А с хрена ли у нас нет,missing
2026-02-16T09:25:19,23,olya,Оля,12,obj_768,"Авиаконструкторов пр-кт, 1",Приморский,53,18 000 000,KNRU#596/1313|Северо-Запад#580/588,left,Неточное совпадение,inexact
2026-02-16T09:25:19,23,olya,Оля,13,obj_127,"Прибрежная ул, 4",Невский,60,15 000 000,KNRU#586/1313|Северо-Запад#41/588,left,У нас дороже,ours_higher
2026-02-16T09:25:20,23,olya,Оля,14,obj_153,"Лиговский, 19",Московский,92.2,49 900 000,KNRU#625/1313|Северо-Запад#49/588,right,У нас дороже,ours_higher
2026-02-16T09:25:20,23,olya,Оля,15,obj_506,"2-я Советская, 10",Центральный,157,49 000 000,KNRU#1278/1313|Северо-Запад#172/588,right,У нас дороже,ours_higher
2026-02-16T09:25:21,23,olya,Оля,16,obj_589,"Выборгское ш, 17к1",Выборгский,325.5,86 500 000,KNRU#453/1313|Северо-Запад#249/588,left,У нас дороже,ours_higher
2026-02-16T09:25:21,23,olya,Оля,17,obj_715,"Дальневосточный пр-кт, 42ке",Невский,166.3,40 000 000,KNRU#549/1313|Северо-Запад#323/588,right,У нас дороже,ours_higher
2026-02-16T09:25:23,23,olya,Оля,18,obj_1075,"Стачек пр-кт, 75",Не указан,133.8,55 000 000,KNRU#1252/1313|Северо-Запад#374/588,left,У нас дороже,ours_higher
2026-02-16T09:25:23,23,olya,Оля,19,obj_82,"Маяковского ул, 7",Центральный,142,82 900 000,KNRU#60/1313|Северо-Запад#141/588,right,У нас дешевле >10%,ours_lower
2026-02-16T09:25:24,23,olya,Оля,20,obj_207,"Гривцова пер, 13/11 А",Адмиралтейский,42,31 500 000,KNRU#475/1313|Северо-Запад#68/588,left,,
2026-02-16T09:25:24,23,olya,Оля,21,obj_268,"Коломенская ул, 46",Центральный,110.7,32 000 000,KNRU#496/1313|Северо-Запад#87/588,right,,
2026-02-16T09:34:10,23,olya,Оля,22,obj_743,"Школьная ул, 68",Приморский,200,47 900 000,KNRU#570/1313|Северо-Запад#391/588,right,,
2026-02-16T09:34:11,23,olya,Оля,23,obj_748,"Европейский пр-кт, 22",Не указан,77.5,11 500 000,KNRU#1225/1313|Северо-Запад#257/588,right,,
2026-02-16T09:34:57,23,olya,Оля,0,obj_1,"25 Октября пр-кт, 37а",Гатчинский муниципальный район,230,10 000 000,KNRU#1/1313,right,,
2026-02-16T09:36:28,26,olya,Оля,0,obj_3,"-, -",Не указан,55,8 500 000,Северо-Запад#1/588,right,,
