position_global,page_num,page_pos,competitor_listing_id,deal_type,district,address,area_m2,price_rub,our_best_price_rub,price_alert,price_diff_rub,price_diff_pct,price_scope,pro_mark,pro_note,competitor_link,our_best_link,result,matched_count,reason
72,1,72,4062059412614219265,sale,,"Литейный проспект, 60",223.2,130 000 000,90 000 000,У нас дешевле на 40 000 000 (30.8%),-40 000 000,-30.8%,same_deal,no,yandex_tile_d5,"=HYPERLINK(""https://realty.yandex.ru/offer/4062059412614219265"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/8738"",""ссылка"")",Совпало,2,"Архив rent 223 м² 550 000 =HYPERLINK(""https://app.worldcafe.ru/object/8738"",""ссылка"") | Архив sale 223 м² 90 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/8738"",""ссылка"")"
73,1,73,4672264194865268737,sale,,"улица Жуковского, 38",92.4,47 000 000,0,У нас дешевле на 47 000 000 (100.0%),-47 000 000,-100.0%,any_type,no,yandex_tile_d5,"=HYPERLINK(""https://realty.yandex.ru/offer/4672264194865268737"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/14137"",""ссылка"")","По адресу есть, но площадь другая",6,"Архив rent 60.8 м² 0 =HYPERLINK(""https://app.worldcafe.ru/object/14137"",""ссылка"") | Архив rent 125.8 м² 250 000 =HYPERLINK(""https://app.worldcafe.ru/object/14138"",""ссылка"") | Архив rent 56.2 м² 0 =HYPERLINK(""https://app.worldcafe.ru/object/13166"",""ссылка"") | Архив rent 39.3 м² 0 =HYPERLINK(""https://app.worldcafe.ru/object/14136"",""ссылка"") | Архив rent 37.1 м² 184 000 =HYPERLINK(""https://app.worldcafe.ru/object/13016"",""ссылка"") | На сайте business_sale 31 м² 470 000 =HYPERLINK(""https://app.worldcafe.ru/object/11949"",""ссылка"")"
74,1,74,2122714241363701249,sale,,"Большая Монетная улица, 11",152.9,35 000 000,,,,,,no,yandex_tile_d5,"=HYPERLINK(""https://realty.yandex.ru/offer/2122714241363701249"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
75,1,75,365651875636337153,sale,,"Вязовая улица, 10",341.4,153 600 000,,,,,,no,yandex_tile_d5,"=HYPERLINK(""https://realty.yandex.ru/offer/365651875636337153"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
76,1,76,1144777652517726209,sale,,"улица Александра Матросова, 3",90,49 000 000,,,,,,no,yandex_tile_d5,"=HYPERLINK(""https://realty.yandex.ru/offer/1144777652517726209"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
77,1,77,7015202629040768769,sale,,"улица Александра Матросова, 3",82,59 000 000,,,,,,no,yandex_tile_d5,"=HYPERLINK(""https://realty.yandex.ru/offer/7015202629040768769"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
78,1,78,6172486566004664577,sale,,"улица Подвойского, 38",85,450 000 000,1 650 000,У нас дешевле на 448 350 000 (99.6%),-448 350 000,-99.6%,any_type,no,yandex_tile_d1,"=HYPERLINK(""https://realty.yandex.ru/offer/6172486566004664577"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/9132"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив business_sale 94 м² 1 650 000 =HYPERLINK(""https://app.worldcafe.ru/object/9132"",""ссылка"")"
79,1,79,2569246882763972353,sale,,"Ивановская улица, 7",1701.1,240 000 000,230 000 000,У нас дешевле на 10 000 000 (4.2%),-10 000 000,-4.2%,same_deal,no,yandex_tile_d1,"=HYPERLINK(""https://realty.yandex.ru/offer/2569246882763972353"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/15609"",""ссылка"")","По адресу есть, но площадь другая",2,"Архив sale 1707 м² 230 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/15609"",""ссылка"") | Архив rent 715 м² 1 600 000 =HYPERLINK(""https://app.worldcafe.ru/object/14420"",""ссылка"")"
80,1,80,939310045242841601,sale,,"улица Бабушкина, 131к2",456.2,56 000 000,,,,,,no,yandex_tile_d1,"=HYPERLINK(""https://realty.yandex.ru/offer/939310045242841601"",""ссылка"")",,Совпало,1,"Без сделки no_deal 456.2 м² =HYPERLINK(""https://app.worldcafe.ru/object/18071"",""ссылка"")"
81,1,81,4703435745007598081,sale,,"проспект Косыгина, 30к1Б",411.7,84 000 000,950 000 000,У нас дороже на 866 000 000 (1031.0%),866 000 000,1031.0%,same_deal,no,yandex_tile_d1,"=HYPERLINK(""https://realty.yandex.ru/offer/4703435745007598081"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/14735"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив sale 7013 м² 950 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/14735"",""ссылка"")"
